sex_partners,first_sex,man_guardian,woman_guardian,marital_status
6,11-grade,With both parents,With both parents,Married
4,Inapplicable,With both parents,With both parents,Never married
2,11-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
4,9-grade,With both parents,With both parents,Never married
3,Inapplicable,Bio father,No mother figure,Married
2,Inapplicable,No father figure,No mother figure,Never married
5,Inapplicable,With both parents,With both parents,Married
2,12-grade,Other father figure,Bio mother,Married
8,1-college,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Widowed
998,Not-school,Stepfather,Bio mother,Married
1,Inapplicable,Bio father,Bio mother,Married
10,10-grade,No father figure,Bio mother,Married
4,10-grade,With both parents,With both parents,Married
2,Inapplicable,Bio father,Bio mother,Married
1,Inapplicable,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
18,9-grade,With both parents,With both parents,Married
4,9-grade,Bio father,Other mother figure,Never married
8,6-grade-less,Other father figure,Other mother figure,Married
0,Inapplicable,With both parents,With both parents,Never married
7,10-grade,Bio father,Bio mother,Never married
4,Inapplicable,Bio father,Bio mother,Married
8,Inapplicable,With both parents,With both parents,Never married
30,10-grade,With both parents,With both parents,Never married
4,11-grade,With both parents,With both parents,Married
2,Don't know,With both parents,With both parents,Never married
4,11-grade,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
25,9-grade,With both parents,With both parents,Divorced/annulled
5,11-grade,With both parents,With both parents,Married
5,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,Bio father,Bio mother,Never married
3,Inapplicable,With both parents,With both parents,Married
0,11-grade,With both parents,With both parents,Never married
2,10-grade,With both parents,With both parents,Never married
0,Inapplicable,Bio father,Bio mother,Never married
5,6-grade-less,Other father figure,Other mother figure,Divorced/annulled
1,Inapplicable,Other father figure,Other mother figure,Never married
4,10-grade,With both parents,With both parents,Never married
4,Don't know,With both parents,With both parents,Divorced/annulled
3,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Refused
2,Inapplicable,Bio father,Bio mother,Divorced/annulled
33,Inapplicable,With both parents,With both parents,Divorced/annulled
6,10-grade,With both parents,With both parents,Married
3,9-grade,Other father figure,Other mother figure,Married
10,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
2,9-grade,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
10,Inapplicable,With both parents,With both parents,Divorced/annulled
30,9-grade,With both parents,With both parents,Married
5,6-grade-less,No father figure,Other mother figure,Never married
4,11-grade,Bio father,Bio mother,Never married
2,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Never married
3,10-grade,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Married
4,Inapplicable,With both parents,With both parents,Never married
5,Inapplicable,Bio father,Bio mother,Married
9,Inapplicable,No father figure,Bio mother,Never married
0,Inapplicable,No father figure,Bio mother,Married
1,Inapplicable,With both parents,With both parents,Married
7,Inapplicable,Bio father,Bio mother,Never married
2,Inapplicable,With both parents,With both parents,Married
4,Inapplicable,With both parents,With both parents,Married
3,Inapplicable,No father figure,Other mother figure,Married
1,Inapplicable,With both parents,With both parents,Married
1,12-grade,With both parents,With both parents,Married
10,12-grade,With both parents,With both parents,Never married
4,Inapplicable,With both parents,With both parents,Married
1,10-grade,Bio father,Other mother figure,Married
5,Inapplicable,No father figure,Bio mother,Never married
22,10-grade,With both parents,With both parents,Married
998,Inapplicable,With both parents,With both parents,Never married
6,7-grade,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Never married
2,12-grade,With both parents,With both parents,Never married
15,9-grade,With both parents,With both parents,Never married
10,Inapplicable,With both parents,With both parents,Married
21,9-grade,No father figure,Bio mother,Never married
7,11-grade,Stepfather,Bio mother,Never married
1,10-grade,No father figure,Other mother figure,Married
2,10-grade,Bio father,Bio mother,Never married
15,11-grade,With both parents,With both parents,Married
12,12-grade,With both parents,With both parents,Married
2,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
1,10-grade,Stepfather,Other mother figure,Married
15,10-grade,Bio father,Bio mother,Never married
10,Inapplicable,Stepfather,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
